country,tahun,provinsi,kota_kabupaten,stunting,life_expectancy,hdi,level
Indonesia,2013,Maluku Utara,,,67.24,64.78,provinsi
Indonesia,2014,Maluku Utara,,,67.33,65.18,provinsi
Indonesia,2015,Maluku Utara,,,67.44,65.91,provinsi
Indonesia,2016,Maluku Utara,,,67.51,66.63,provinsi
Indonesia,2017,Maluku Utara,,,67.54,67.2,provinsi
Indonesia,2018,Maluku Utara,,,67.8,67.76,provinsi
Indonesia,2019,Maluku Utara,,"29,07",68.18,68.7,provinsi
Indonesia,2020,Maluku Utara,,"27,23",68.33,68.49,provinsi
Indonesia,2021,Maluku Utara,,"27,5",68.45,68.76,provinsi
Indonesia,2022,Maluku Utara,,"26,1",68.79,69.47,provinsi
Indonesia,2023,Maluku Utara,,"28,4",69.11,70.21,provinsi
Indonesia,2024,Maluku Utara,,"23,2",69.35,71.03,provinsi
Indonesia,2013,Nusa Tenggara Barat,,,64.74,63.76,provinsi
Indonesia,2014,Nusa Tenggara Barat,,,64.89,64.31,provinsi
Indonesia,2015,Nusa Tenggara Barat,,,65.38,65.19,provinsi
Indonesia,2016,Nusa Tenggara Barat,,,65.48,65.81,provinsi
Indonesia,2017,Nusa Tenggara Barat,,,65.55,66.58,provinsi
Indonesia,2018,Nusa Tenggara Barat,,,65.87,67.3,provinsi
Indonesia,2019,Nusa Tenggara Barat,,"37,85",66.28,68.14,provinsi
Indonesia,2020,Nusa Tenggara Barat,,"38,15",66.51,68.25,provinsi
Indonesia,2021,Nusa Tenggara Barat,,"31,4",66.69,68.65,provinsi
Indonesia,2022,Nusa Tenggara Barat,,"32,7",67.07,69.46,provinsi
Indonesia,2023,Nusa Tenggara Barat,,"24,6",67.47,70.2,provinsi
Indonesia,2024,Nusa Tenggara Barat,,"29,8",67.73,70.93,provinsi
Indonesia,2013,Nusa Tenggara Timur,,,65.82,61.68,provinsi
Indonesia,2014,Nusa Tenggara Timur,,,65.91,62.26,provinsi
Indonesia,2015,Nusa Tenggara Timur,,,65.96,62.67,provinsi
Indonesia,2016,Nusa Tenggara Timur,,,66.04,63.13,provinsi
Indonesia,2017,Nusa Tenggara Timur,,,66.07,63.73,provinsi
Indonesia,2018,Nusa Tenggara Timur,,,66.38,64.39,provinsi
Indonesia,2019,Nusa Tenggara Timur,,"43,82",66.85,65.23,provinsi
Indonesia,2020,Nusa Tenggara Timur,,"42,99",67.01,65.19,provinsi
Indonesia,2021,Nusa Tenggara Timur,,"37,8",67.15,65.28,provinsi
Indonesia,2022,Nusa Tenggara Timur,,"35,4",67.47,65.9,provinsi
Indonesia,2023,Nusa Tenggara Timur,,"37,9",67.77,66.68,provinsi
Indonesia,2024,Nusa Tenggara Timur,,37,67.99,67.39,provinsi
Indonesia,2013,Papua,,,64.76,56.25,provinsi
Indonesia,2014,Papua,,,64.84,56.75,provinsi
Indonesia,2015,Papua,,,65.09,57.25,provinsi
Indonesia,2016,Papua,,,65.12,58.05,provinsi
Indonesia,2017,Papua,,,65.14,59.09,provinsi
Indonesia,2018,Papua,,,65.36,60.06,provinsi
Indonesia,2019,Papua,,"29,36",65.65,60.84,provinsi
Indonesia,2020,Papua,,"23,42",65.79,60.44,provinsi
Indonesia,2021,Papua,,"29,5",65.93,60.62,provinsi
Indonesia,2022,Papua,,"34,6",66.23,71.76,provinsi
Indonesia,2023,Papua,,"28,6",66.44,72.41,provinsi
Indonesia,2024,Papua,,"24,7",68.79,73,provinsi
Indonesia,2013,Papua Barat,,,65.05,60.91,provinsi
Indonesia,2014,Papua Barat,,,65.13,61.28,provinsi
Indonesia,2015,Papua Barat,,,65.19,61.73,provinsi
Indonesia,2016,Papua Barat,,,65.3,62.21,provinsi
Indonesia,2017,Papua Barat,,,65.32,62.99,provinsi
Indonesia,2018,Papua Barat,,,65.55,63.74,provinsi
Indonesia,2019,Papua Barat,,"24,58",65.9,64.7,provinsi
Indonesia,2020,Papua Barat,,"28,05",66.02,65.09,provinsi
Indonesia,2021,Papua Barat,,"26,2",66.14,65.26,provinsi
Indonesia,2022,Papua Barat,,30,66.46,65.16,provinsi
Indonesia,2023,Papua Barat,,"24,8",66.79,66.16,provinsi
Indonesia,2024,Papua Barat,,"24,6",67.05,67.02,provinsi
Indonesia,2013,Papua Barat Daya,,,-,-,provinsi
Indonesia,2014,Papua Barat Daya,,,-,-,provinsi
Indonesia,2015,Papua Barat Daya,,,-,-,provinsi
Indonesia,2016,Papua Barat Daya,,,-,-,provinsi
Indonesia,2017,Papua Barat Daya,,,-,-,provinsi
Indonesia,2018,Papua Barat Daya,,,-,-,provinsi
Indonesia,2019,Papua Barat Daya,,,-,-,provinsi
Indonesia,2020,Papua Barat Daya,,,-,-,provinsi
Indonesia,2021,Papua Barat Daya,,,-,-,provinsi
Indonesia,2022,Papua Barat Daya,,,-,67.59,provinsi
Indonesia,2023,Papua Barat Daya,,31,-,68.05,provinsi
Indonesia,2024,Papua Barat Daya,,"30,5",67.85,68.63,provinsi
Indonesia,2013,Papua Pegunungan,,,-,-,provinsi
Indonesia,2014,Papua Pegunungan,,,-,-,provinsi
Indonesia,2015,Papua Pegunungan,,,-,-,provinsi
Indonesia,2016,Papua Pegunungan,,,-,-,provinsi
Indonesia,2017,Papua Pegunungan,,,-,-,provinsi
Indonesia,2018,Papua Pegunungan,,,-,-,provinsi
Indonesia,2019,Papua Pegunungan,,,-,-,provinsi
Indonesia,2020,Papua Pegunungan,,,-,-,provinsi
Indonesia,2021,Papua Pegunungan,,,-,-,provinsi
Indonesia,2022,Papua Pegunungan,,,-,51.7,provinsi
Indonesia,2023,Papua Pegunungan,,"37,3",-,52.45,provinsi
Indonesia,2024,Papua Pegunungan,,,64.8,53.42,provinsi
Indonesia,2013,Papua Selatan,,,-,-,provinsi
Indonesia,2014,Papua Selatan,,,-,-,provinsi
Indonesia,2015,Papua Selatan,,,-,-,provinsi
Indonesia,2016,Papua Selatan,,,-,-,provinsi
Indonesia,2017,Papua Selatan,,,-,-,provinsi
Indonesia,2018,Papua Selatan,,,-,-,provinsi
Indonesia,2019,Papua Selatan,,,-,-,provinsi
Indonesia,2020,Papua Selatan,,,-,-,provinsi
Indonesia,2021,Papua Selatan,,,-,-,provinsi
Indonesia,2022,Papua Selatan,,,-,65.74,provinsi
Indonesia,2023,Papua Selatan,,25,-,67.27,provinsi
Indonesia,2024,Papua Selatan,,"25,7",66.45,67.9,provinsi
Indonesia,2013,Papua Tengah,,,-,-,provinsi
Indonesia,2014,Papua Tengah,,,-,-,provinsi
Indonesia,2015,Papua Tengah,,,-,-,provinsi
Indonesia,2016,Papua Tengah,,,-,-,provinsi
Indonesia,2017,Papua Tengah,,,-,-,provinsi
Indonesia,2018,Papua Tengah,,,-,-,provinsi
