Kota/Kabupaten,Tahun,Life Expectancy at Birth (Year),Provinsi
Muko Muko,2021,66.73,Bengkulu
Muko Muko,2022,67,Bengkulu
Muko Muko,2023,67.3,Bengkulu
Muko Muko,2024,67.57,Bengkulu
Rejang Lebong,2013,67.39,Bengkulu
Rejang Lebong,2014,67.42,Bengkulu
Rejang Lebong,2015,67.52,Bengkulu
Rejang Lebong,2016,67.58,Bengkulu
Rejang Lebong,2017,67.65,Bengkulu
Rejang Lebong,2018,67.95,Bengkulu
Rejang Lebong,2019,68.37,Bengkulu
Rejang Lebong,2020,68.57,Bengkulu
Rejang Lebong,2021,68.75,Bengkulu
Rejang Lebong,2022,69,Bengkulu
Rejang Lebong,2023,69.22,Bengkulu
Rejang Lebong,2024,69.42,Bengkulu
Seluma,2013,66.39,Bengkulu
Seluma,2014,66.4,Bengkulu
Seluma,2015,66.7,Bengkulu
Seluma,2016,66.77,Bengkulu
Seluma,2017,66.85,Bengkulu
Seluma,2018,67.14,Bengkulu
Seluma,2019,67.56,Bengkulu
Seluma,2020,67.75,Bengkulu
Seluma,2021,67.9,Bengkulu
Seluma,2022,68.13,Bengkulu
Seluma,2023,68.35,Bengkulu
Seluma,2024,68.53,Bengkulu
Bantul,2013,73.22,DI Yogyakarta
Bantul,2014,73.24,DI Yogyakarta
Bantul,2015,73.44,DI Yogyakarta
Bantul,2016,73.5,DI Yogyakarta
Bantul,2017,73.56,DI Yogyakarta
Bantul,2018,73.66,DI Yogyakarta
Bantul,2019,73.77,DI Yogyakarta
Bantul,2020,73.86,DI Yogyakarta
Bantul,2021,73.89,DI Yogyakarta
Bantul,2022,73.9,DI Yogyakarta
Bantul,2023,73.94,DI Yogyakarta
Bantul,2024,74.17,DI Yogyakarta
Gunungkidul,2013,73.38,DI Yogyakarta
Gunungkidul,2014,73.39,DI Yogyakarta
Gunungkidul,2015,73.69,DI Yogyakarta
Gunungkidul,2016,73.76,DI Yogyakarta
Gunungkidul,2017,73.82,DI Yogyakarta
Gunungkidul,2018,73.92,DI Yogyakarta
Gunungkidul,2019,74.03,DI Yogyakarta
Gunungkidul,2020,74.12,DI Yogyakarta
Gunungkidul,2021,74.19,DI Yogyakarta
Gunungkidul,2022,74.23,DI Yogyakarta
Gunungkidul,2023,74.24,DI Yogyakarta
Gunungkidul,2024,74.35,DI Yogyakarta
Kota Yogyakarta,2013,74.05,DI Yogyakarta
Kota Yogyakarta,2014,74.05,DI Yogyakarta
Kota Yogyakarta,2015,74.25,DI Yogyakarta
Kota Yogyakarta,2016,74.3,DI Yogyakarta
Kota Yogyakarta,2017,74.35,DI Yogyakarta
Kota Yogyakarta,2018,74.45,DI Yogyakarta
Kota Yogyakarta,2019,74.56,DI Yogyakarta
Kota Yogyakarta,2020,74.65,DI Yogyakarta
Kota Yogyakarta,2021,74.76,DI Yogyakarta
Kota Yogyakarta,2022,74.83,DI Yogyakarta
Kota Yogyakarta,2023,74.91,DI Yogyakarta
Kota Yogyakarta,2024,75.11,DI Yogyakarta
Kulon Progo,2013,74.89,DI Yogyakarta
Kulon Progo,2014,74.9,DI Yogyakarta
Kulon Progo,2015,75,DI Yogyakarta
Kulon Progo,2016,75.03,DI Yogyakarta
Kulon Progo,2017,75.06,DI Yogyakarta
Kulon Progo,2018,75.12,DI Yogyakarta
Kulon Progo,2019,75.2,DI Yogyakarta
Kulon Progo,2020,75.24,DI Yogyakarta
Kulon Progo,2021,75.27,DI Yogyakarta
Kulon Progo,2022,75.28,DI Yogyakarta
Kulon Progo,2023,75.29,DI Yogyakarta
Kulon Progo,2024,75.41,DI Yogyakarta
Sleman,2013,74.47,DI Yogyakarta
Sleman,2014,74.47,DI Yogyakarta
Sleman,2015,74.57,DI Yogyakarta
Sleman,2016,74.6,DI Yogyakarta
Sleman,2017,74.63,DI Yogyakarta
Sleman,2018,74.69,DI Yogyakarta
Sleman,2019,74.77,DI Yogyakarta
Sleman,2020,74.81,DI Yogyakarta
Sleman,2021,74.92,DI Yogyakarta
Sleman,2022,75,DI Yogyakarta
Sleman,2023,75.08,DI Yogyakarta
Sleman,2024,75.29,DI Yogyakarta
Kepulauan Seribu,2013,67.16,DKI Jakarta
Kepulauan Seribu,2014,67.22,DKI Jakarta
Kepulauan Seribu,2015,67.72,DKI Jakarta
Kepulauan Seribu,2016,67.88,DKI Jakarta
Kepulauan Seribu,2017,68.04,DKI Jakarta
Kepulauan Seribu,2018,68.27,DKI Jakarta
Kepulauan Seribu,2019,68.51,DKI Jakarta
Kepulauan Seribu,2020,68.76,DKI Jakarta
Kepulauan Seribu,2021,68.99,DKI Jakarta
Kepulauan Seribu,2022,69.2,DKI Jakarta
Kepulauan Seribu,2023,69.61,DKI Jakarta
Kepulauan Seribu,2024,69.78,DKI Jakarta
Kota Jakarta Barat,2013,73.22,DKI Jakarta
Kota Jakarta Barat,2014,73.22,DKI Jakarta
